date,maximum_atmospheric_pressure,minimum_atmospheric_pressure,precipitation,maximum_air_temperature,minimum_air_temperature,maximum_relative_humidity,minimum_relative_humidity,total_solar_radiation,maximum_temperature,minimum_temperature,average_air_temperature,average_relative_humidity,wind_speed,total_solar_radiation.1
2017-04-05,613.4144916666667,599.8491541666666,0.27516666666666667,25.446375,24.368666666666666,94.41608333333333,89.78045833333334,1775.6819583333333,23.77936166666667,23.098009583333333,24.824510833333335,92.34941333333335,0.7365018554166666,4.932449708333333
2017-04-06,606.8128166666667,599.8972333333334,0.010583333333333333,26.747666666666664,25.369500000000002,86.342625,80.19504166666667,1981.7915416666665,23.252197499999998,21.998692083333335,26.066708333333334,83.1503925,0.5885937912083333,5.504976374999999
2017-04-07,612.6307583333333,599.8625041666667,0.0,27.706416666666666,26.2225,85.0445,78.17433333333334,2021.0232916666666,23.86065041666667,22.73630375,27.033084583333334,81.48844166666667,0.65296581375,5.613953833333333
2017-04-08,610.1977833333334,599.8645416666667,0.0,27.11708333333333,25.586916666666667,88.87845833333334,82.78075,1894.1967916666665,24.08744625,23.151817500000003,26.349495,85.85879208333334,0.5310908466666667,5.2616575
2017-04-09,611.503475,599.7985416666667,0.0,28.105,26.71529166666667,83.58654166666666,77.05316666666667,2033.2632083333335,23.972781666666666,22.80478375,27.431256666666666,80.3139075,0.7002082835416666,5.6479532500000005
2017-04-10,609.3672583333333,599.8261208333333,0.14816666666666667,26.49683333333333,25.14854166666667,92.01245833333333,85.50920833333333,1850.0124166666667,24.16866041666667,23.265586666666668,25.755974166666665,89.15207333333335,0.5622598583333334,5.1389233333333335
2017-04-11,607.8894541666667,599.8019666666667,1.57691625,26.104916666666668,24.609166666666667,93.79608333333334,88.396,1895.4812916666667,24.2559325,23.120558333333335,25.21018875,91.52315625,0.5153037582916666,5.2652257916666665
2017-04-12,610.4708541666666,599.7917833333333,0.05291666666666667,27.12691666666667,25.606875000000002,90.33870833333333,84.226625,2049.355541666667,24.465597083333336,23.335267916666666,26.362313333333333,87.33776083333333,0.49672455499999996,5.692654291666667
2017-04-13,613.6935500000001,599.8088416666667,0.9525000416666667,26.670208333333335,25.474875,93.93854166666667,89.67537499999999,2027.2692083333334,24.951794583333335,24.109985416666664,26.041753333333332,91.87464791666667,0.7217157994166666,5.631303166666666
2017-04-14,607.495425,599.8544875,1.3652496666666665,26.17095833333333,24.914291666666667,93.88966666666666,89.17975,2088.857666666667,24.330322083333332,23.404130416666664,25.57216375,91.39607583333333,0.5080728479166666,5.8023825
2017-04-15,609.2526541666667,599.7813666666667,0.010583333333333333,26.93704166666667,25.652583333333336,88.12429166666668,83.06270833333333,2163.8717083333336,23.915000000000003,22.95431333333333,26.282069583333335,85.69048125,0.6825722779166666,6.010754708333334
2017-04-16,611.3099125,599.8296916666667,0.0,27.61425,26.2465,82.88341666666666,75.971125,2177.4934583333334,23.22844375,22.026766666666663,26.91903375,79.71732833333333,0.7131596766666667,6.048592958333334
2017-04-17,610.7558916666667,599.8542416666667,0.0,27.643583333333336,26.170708333333334,86.35395833333332,80.21941666666667,2216.6102916666664,24.13158208333333,23.077889583333334,26.9372075,83.25289208333334,0.7073148128333333,6.157250583333333
2017-04-18,607.9601625,599.8140416666666,0.0,27.729791666666667,26.30995833333333,87.27395833333333,80.66041666666666,2063.4684583333333,24.389266666666668,23.41696875,26.964818750000003,84.04536208333333,0.44792820426249996,5.731857166666667
